sku,catalog_name,guide_name,role_type,form,category,analysis,npk,product_url,pack_sizes,calendar_how_often,calendar_cadence_days,calendar_window,calendar_one_off,calendar_max_per_year,calendar_tank_group,calendar_method,calendar_notes,mix_together,independent,water_in,soil_drench,foliar,fertigation,hydroponic,hose_on,mix_with_iron,usage_frequency_text,usage_rate_text,usage_min_dilution,usage_application_notes,calculator_frequency,calculator_dilution,calculator_rate_100m2,calculator_notes,garden_natives_half_strength,combined_notes,in_catalog,in_calendar,in_usage_guide,in_rates_calculator
DOL,Dolomite Granules 1–2mm Mini Prill (Calcium Magnesium Carbonate Soil Conditioner),Dolomite Granules,soil_chemistry,granular,Soil amendment (pH buffer + calcium + magnesium mineral conditioner),Calcium magnesium carbonate (dolomite),,https://www.plantdoctor.com.au/dolomite-granules-1-2mm-mini-prill-granular-slow-r,,Once in autumn or early spring,365,year_round,1,1,granular,spread,Test pH and magnesium first. Wait 6 weeks before iron.,0,0,1,0,0,0,0,0,0,Apply during autumn or early spring for best results. Can be used as part of a regular soil improvement program or before planting and lawn establishment.,5 kg per 100 m² (may vary with soil pH and magnesium levels).,,"Test soil pH and magnesium levels before application. Apply evenly across the area and water in to help granules break down. Avoid over-application, as excessive use can create nutrient imbalances.",,,,,0,"Test pH and magnesium first. Wait 6 weeks before iron. | Test soil pH and magnesium levels before application. Apply evenly across the area and water in to help granules break down. Avoid over-application, as excessive use can create nutrient imbalances.",1,1,1,0
LEN,Lawn Envy Hose-On Liquid Lawn & Garden Tonic,Lawn Envy,nutrition,hose-on,All-in-one liquid fertiliser;  soil conditioner,Concentrate 16-1-5 NPK + 1% Fe EDTA; hose-on 8-1-3 NPK + iron,16-1-5,https://www.plantdoctor.com.au/lawn-envy,"4L, 10L",Every 4 weeks year-round,28,year_round,0,12,iron,hose-on,Apply independently from other liquids. Offset ~2 weeks if alternating with MaxGreen.,0,1,1,0,0,0,0,1,0,"Apply year-round for ongoing lawn and garden health. Ideal during nutrient stress, dull colour, dry patches, hydrophobic soils, post-mowing recovery and general maintenance.",2 L hose-on covers up to 200 m². 1 L concentrate: mix into the 2 L hose-on bottle or use with EZFLO.,,"HOSE ON: connect the hose-on bottle and spray evenly. For refills, reuse the bottle with 4 L or 10 L concentrate packs. Can also be added to EZFLO. CONCENTRATE: shake well, apply during the coolest part of the day, lightly water in. Apply separately from most liquid fertilisers and pesticides.","Apply every ~4 weeks under active growth. When alternating with complementary products (e.g., MaxGreen), offset applications by ~2 weeks.",1:2,500–1000 mL / 100 m²,"Use 1 L concentrate + water to make ~2 L ready‑to‑use. A 4L refill to provide 8 treatments based on a 50/50 mix with water for each refill. | Ready‑to‑use coverage: 2 L bottle ≈ 200 m²
Concentrate refills provide up to ~8 applications in a 2 L bottle when diluted 1:1 with water.
Compatible with EZFLO fertigation systems for larger or irregular areas.
Pre‑mixed formula combines nutrients, wetting agents, organic stimulants and trace elements; excellent for overall plant and soil health beyond turf.",0,"Apply independently from other liquids. Offset ~2 weeks if alternating with MaxGreen. | HOSE ON: connect the hose-on bottle and spray evenly. For refills, reuse the bottle with 4 L or 10 L concentrate packs. Can also be added to EZFLO. CONCENTRATE: shake well, apply during the coolest part of the day, lightly water in. Apply separately from most liquid fertilisers and pesticides. | Use 1 L concentrate + water to make ~2 L ready‑to‑use. A 4L refill to provide 8 treatments based on a 50/50 mix with water for each refill. | Ready‑to‑use coverage: 2 L bottle ≈ 200 m²
Concentrate refills provide up to ~8 applications in a 2 L bottle when diluted 1:1 with water.
Compatible with EZFLO fertigation systems for larger or irregular areas.
Pre‑mixed formula combines nutrients, wetting agents, organic stimulants and trace elements; excellent for overall plant and soil health beyond turf.",1,1,1,1
LIMEGr,Lime Granules (1–2mm Slow Release Calcium Carbonate),Lime Granules 1-2mm Slow Release,soil_chemistry,granular,Soil amendment (agricultural lime / pH correction),Calcium carbonate (CaCO3),,https://www.plantdoctor.com.au/lime-granules-1-2mm-slow-release,,Once in autumn or early spring,365,year_round,1,1,granular,spread,Apply when soil tests show low pH. Wait 6 weeks before iron.,0,0,1,0,0,0,0,0,0,Apply when soil tests indicate acidic soil (low pH). Best applied in autumn or early spring before planting or as part of a seasonal soil improvement program.,Varies by soil type to raise pH by about 1 unit.,,"Spread evenly over the soil surface and water in well. Where possible, incorporate into the topsoil. Always perform a soil test before application to determine the correct rate. Wait 6 weeks before applying iron.",,,,,0,"Apply when soil tests show low pH. Wait 6 weeks before iron. | Spread evenly over the soil surface and water in well. Where possible, incorporate into the topsoil. Always perform a soil test before application to determine the correct rate. Wait 6 weeks before applying iron.",1,1,1,0
LIR,Liquid Iron Fertiliser (7% Iron + 3% Sulphur + Fulvic Acid),Liquid Iron Fertiliser - 7% Iron 3% Sulphur,visual,liquid,Liquid micronutrient fertiliser (iron corrective),"7% Fe, 3% S + fulvic acid",,https://www.plantdoctor.com.au/plant-doctor-7-iron-3-sulphur-liquid-fertiliser,"1L, 4L, 10L",Every 4 weeks in the growing season,28,growing_season,0,8,iron,spray,Trees and grapevines every 6–8 weeks. May stain paths.,0,1,1,0,0,0,0,0,0,"Apply every 4 weeks during the growing season, or as required to correct iron deficiency and improve colour. Trees and grapevines can be applied every 6–8 weeks.",150–400 mL per 100 m² depending on plant type.,1:50,"Apply as a foliar spray or soil drench during the coolest part of the day. Can be mixed with Stimulizer, but should be applied separately from most other fertilisers and liquid products. Always perform a jar test before mixing.","Lawns: every ~4 weeks during growing season or as needed
Vegetables: every ~2 weeks or as required
Ornamentals: ~every 4 weeks during active growth
Trees/Fruits/Nuts/Vines: every ~6–8 weeks or as needed",1:50,150–400 mL / 100 m²,"Corrects iron chlorosis (yellowing due to iron deficiency) and boosts green colour.
Can be used as foliar spray or soil drench.
Iron should be applied separately from other fertilisers to avoid reactions; compatible with some humic products but test before mixing.
Iron application may stain paths/clothes; apply in calm conditions.",0,"Trees and grapevines every 6–8 weeks. May stain paths. | Apply as a foliar spray or soil drench during the coolest part of the day. Can be mixed with Stimulizer, but should be applied separately from most other fertilisers and liquid products. Always perform a jar test before mixing. | Corrects iron chlorosis (yellowing due to iron deficiency) and boosts green colour.
Can be used as foliar spray or soil drench.
Iron should be applied separately from other fertilisers to avoid reactions; compatible with some humic products but test before mixing.
Iron application may stain paths/clothes; apply in calm conditions.",1,1,1,1
MG,MaxGreen Hi-Nitrogen + Iron Liquid Fertiliser,MaxGreen Hi-N & Iron liquid fertiliser,nutrition,hose-on,Liquid fertiliser (high nitrogen + iron + fulvic acid),"16% N, 5% Fe, 2% S + fulvic acid",,https://www.plantdoctor.com.au/maxgreen-hi-n-iron-liquid-fertiliser-growth-plus-g,"1L, 2L, 4L, 10L",Monthly in the growing season,28,growing_season,0,8,iron,hose-on,Fortnightly on vegetables; every 6–8 weeks on trees and vines. Skip summer if fungal issues. Mixable with Stimulizer only.,0,1,1,0,0,0,0,1,0,"Apply monthly during the growing season for lawns and ornamentals, fortnightly for vegetables, and every 6–8 weeks for trees, fruit, nuts and grapevines, or as required.",2 L hose-on covers 200 m². Concentrate 140–400 mL per 100 m².,,"HOSE ON: connect bottle and spray evenly; refill with 4 L or 10 L concentrate; EZFLO compatible. CONCENTRATE: shake well, apply in the coolest part of the day, lightly water in. Apply separately from most liquid fertilisers and pesticides. Stimulizer is compatible for tank mixing.",Monthly in growing season,Dilute into water and spray evenly across leaf/soil surface; lightly water in after application.,140–400 mL / 100 m²,Corrects iron deficiency and supports green colour and growth in turf & ornamentals. Avoid mixing with incompatible products; add iron last after other liquids diluted. | Use during active growth to support greener foliage and nutrient uptake; adjust frequency based on plant response. | Iron helps correct chlorosis; nitrogen supports vigorous growth.,0,"Fortnightly on vegetables; every 6–8 weeks on trees and vines. Skip summer if fungal issues. Mixable with Stimulizer only. | HOSE ON: connect bottle and spray evenly; refill with 4 L or 10 L concentrate; EZFLO compatible. CONCENTRATE: shake well, apply in the coolest part of the day, lightly water in. Apply separately from most liquid fertilisers and pesticides. Stimulizer is compatible for tank mixing. | Corrects iron deficiency and supports green colour and growth in turf & ornamentals. Avoid mixing with incompatible products; add iron last after other liquids diluted. | Use during active growth to support greener foliage and nutrient uptake; adjust frequency based on plant response. | Iron helps correct chlorosis; nitrogen supports vigorous growth.",1,1,1,1
NSO,,Neem Seed Oil - 100% Cold Pressed virgin oil,,oil,,100% cold-pressed Azadirachta indica oil,,,,,,,0,,,,,0,0,0,0,1,0,0,0,0,"Apply during active plant growth, as part of a preventative plant care routine, or when plants are under pest pressure or environmental stress. Repeat 7 days after the initial application, then apply as required.",Varies by application type.,,"Dilute before use and spray directly onto leaves (top and underside), stems and soil surface. Add a biodegradable detergent to help emulsify the oil with water. Avoid applying during extreme heat or strong sunlight. Not currently in the Product Guide / Calendar catalog — SKU NSO is a placeholder.",,,,,0,"Dilute before use and spray directly onto leaves (top and underside), stems and soil surface. Add a biodegradable detergent to help emulsify the oil with water. Avoid applying during extreme heat or strong sunlight. Not currently in the Product Guide / Calendar catalog — SKU NSO is a placeholder.",0,0,1,0
NSWL,Nature’s Soil Wetter Liquid (Super Concentrated Plant-Based Wetting Agent),Nature's Soil Wetter - Liquid,soil_structure,liquid,Liquid soil wetter; surfactant; soil hydrology enhancer,"Plant-derived wetter + humates, fulvates, botanical extracts, 70+ traces",,https://www.plantdoctor.com.au/natures-soil-wetter-liquid-super-concentrated-plan,"1L, 4L, 10L",Every 2–4 weeks when soils are dry or water-repellent,21,growing_season,0,12,no_iron_mix,spray,"Mix gently, do not shake. Do not tank-mix with iron.",1,0,1,1,1,1,0,0,0,"Apply every 2–4 weeks, or as required, when soils become dry, water repellent or compacted. Ideal during dry periods or whenever water struggles to penetrate the soil profile.",100 mL per 100 m²,,"Mix gently before use, do not shake. Water in lightly after application to activate the product. Compatible with most fertilisers, although a jar test is recommended before mixing with acidic or sulphate-based products.",Apply every 2-4 weeks,Dilute in water and spray evenly over soil/area; water in lightly after application to activate soil penetration. Tank or pump sprayer recommended for larger areas.,100 mL / 100 m²,"Plant‑based wetting agent and soil conditioner that improves infiltration, water retention, and soil structure in dry or hydrophobic soils.
Safe for all plants including natives and edibles; compatible with most fertilisers (jar test recommended first).
Can be used as adjuvant with foliar/soil feeds to improve uptake and reduce water run‑off.",0,"Mix gently, do not shake. Do not tank-mix with iron. | Mix gently before use, do not shake. Water in lightly after application to activate the product. Compatible with most fertilisers, although a jar test is recommended before mixing with acidic or sulphate-based products. | Plant‑based wetting agent and soil conditioner that improves infiltration, water retention, and soil structure in dry or hydrophobic soils.
Safe for all plants including natives and edibles; compatible with most fertilisers (jar test recommended first).
Can be used as adjuvant with foliar/soil feeds to improve uptake and reduce water run‑off.",1,1,1,1
STM,Stimulizer Super Concentrate Bio-Stimulant (Fulvic + Humic + Mineral Chelator Blend),Stimulizer,uptake,liquid,Ultra-concentrated biostimulant (fulvic acid + humic extracts + trace minerals),"Ultra-concentrated fulvic complex, 1500+ chelation capacity",,https://www.plantdoctor.com.au/stimulizer-super-concentrate-bio-stimulant-natural,"30mL, 1L, 4L, 10L",Every 2 weeks,14,year_round,0,24,mixable,spray,Can tank-mix with iron. Use at very low rates.,1,0,1,1,1,1,1,0,1,"Apply fortnightly or as required. Can be used year-round to support root development, nutrient uptake, stress recovery and overall plant health.","3 mL per 100 m². 2 mL per 9 L watering can for home gardens. Turf, hydroponic and broadacre rates vary.",,"Apply as a soil drench, foliar spray, hydroponic additive or mixed with fertilisers and other liquid inputs. Compatible with acidic and alkaline materials. Does not burn plants, lawns or soil if over-applied, but best results are at recommended rates. The only product the guide says can be safely mixed with iron.","Apply fortnightly or when required. Does not burn or damage the plant, lawn or soil if over-applied, but works best at lower rates.","Mix fully into water for even spray coverage. Can be applied as a soil drench, foliar spray, in hydroponic solutions, or via fertigation/irrigation systems. For foliar use, mix in sufficient water to cover leaf surfaces without runoff.",3–5 mL / 100 m²,"Stimulizer enhances root development, nutrient uptake, soil microbial activity, stress resistance and overall plant vigor. It is compatible with other liquid fertilisers and tank mixes (perform a jar test first). Also used in hydroponics at lower per‑L rates",0,"Can tank-mix with iron. Use at very low rates. | Apply as a soil drench, foliar spray, hydroponic additive or mixed with fertilisers and other liquid inputs. Compatible with acidic and alkaline materials. Does not burn plants, lawns or soil if over-applied, but best results are at recommended rates. The only product the guide says can be safely mixed with iron. | Stimulizer enhances root development, nutrient uptake, soil microbial activity, stress resistance and overall plant vigor. It is compatible with other liquid fertilisers and tank mixes (perform a jar test first). Also used in hydroponics at lower per‑L rates",1,1,1,1
SWS,Seaweed Secrets Concentrated Liquid Seaweed (Ascophyllum nodosum + Humic + Fulvic),Seaweed Secrets,biology,liquid,Liquid biostimulant (seaweed + humic + fulvic soil conditioner blend),Cold-processed Ascophyllum nodosum + humic + fulvic,,https://www.plantdoctor.com.au/seaweed-secrets-concentrated-liquid-seaweed-kelp-s,"1L, 5L, 10L",Every 2 weeks,14,year_round,0,24,mixable,spray,Mixable with Stimulizer and most non-iron feeds.,1,0,1,1,1,1,1,0,0,"Apply fortnightly or as required throughout the growing season. Ideal during heat, drought, frost, transplanting or recovery. Can be used year-round to support ongoing plant and soil health.",100 mL per 100 m². Agricultural rates vary.,,"Apply as a soil drench, foliar spray, fertigation or through sprinkler/drip irrigation. Can be mixed with most fertilisers and soil conditioners. When applying to foliage, check for staining on sensitive plants first.",Apply fortnightly or as required,"Mix into sufficient water for even foliar or soil coverage; apply via sprayer, irrigation, or fertigation. Can be applied to soil or foliage",100 mL / 100 m²,"Seaweed extract with added humic & fulvic acids, rich in minerals and plant growth stimulants.
Compatible with most fertilisers and soil conditioners; do not mix with iron products.
Can be used across lawns, garden beds, vegetables, trees and broadacre crops.",1,"Mixable with Stimulizer and most non-iron feeds. | Apply as a soil drench, foliar spray, fertigation or through sprinkler/drip irrigation. Can be mixed with most fertilisers and soil conditioners. When applying to foliage, check for staining on sensitive plants first. | Seaweed extract with added humic & fulvic acids, rich in minerals and plant growth stimulants.
Compatible with most fertilisers and soil conditioners; do not mix with iron products.
Can be used across lawns, garden beds, vegetables, trees and broadacre crops. | For natives and other sensitive plants, use Seaweed Secrets and Activ8Mate at half strength.",1,1,1,1
WMB,Worm Magic Liquid Compost Tea (Brewed from Worm Castings),Worm Magic Liquid Compost Tea,biology,liquid,Liquid compost tea; microbial soil tonic (worm casting extract + humic/fulvic),Living compost tea + humic & fulvic acids,,https://www.plantdoctor.com.au/worm-magic-brewed-from-worm-castings,"1L, 4L, 10L",Every 2–4 weeks in the growing season,21,growing_season,0,12,no_iron_mix,spray,More often during stress or transplanting. Do not tank-mix with iron (humic/fulvic).,1,0,1,1,1,1,0,0,0,"Apply every 2–4 weeks throughout the growing season. Increase frequency during periods of stress, transplanting or active growth.",Varies by application type.,,"Apply as a soil drench, foliar spray, fertigation or irrigation. For best results on lawns, apply after mowing and water into the soil. Contains humic and fulvic acids — do not tank-mix with iron.",Every 2–4 weeks after mowing,Mix in water; foliar spray or soil drench. Jar test before mixing with other products.,90–120 mL / 100 m²,"Lawn foliar/soil rate 9–12 L/ha (90–120 mL/100 m²). Apply evenly after mowing. Do not tank-mix with iron. | Garden beds and small lawns: 50–100 mL per 9 L water. Containers: 10–20 mL per 1 L water every 2–4 weeks. Fruit trees and shrubs: 100–150 mL per 9 L around the drip line every 4–6 weeks. | Horticulture foliar 5–7 L/ha. Fruit trees and shrubs at hobby rate 100–150 mL per 9 L around the drip line. | Pastures, broadacre, and fertigation 10–20 L/ha.",0,"More often during stress or transplanting. Do not tank-mix with iron (humic/fulvic). | Apply as a soil drench, foliar spray, fertigation or irrigation. For best results on lawns, apply after mowing and water into the soil. Contains humic and fulvic acids — do not tank-mix with iron. | Lawn foliar/soil rate 9–12 L/ha (90–120 mL/100 m²). Apply evenly after mowing. Do not tank-mix with iron. | Garden beds and small lawns: 50–100 mL per 9 L water. Containers: 10–20 mL per 1 L water every 2–4 weeks. Fruit trees and shrubs: 100–150 mL per 9 L around the drip line every 4–6 weeks. | Horticulture foliar 5–7 L/ha. Fruit trees and shrubs at hobby rate 100–150 mL per 9 L around the drip line. | Pastures, broadacre, and fertigation 10–20 L/ha.",1,1,1,1
