Product Name,Unit Size,Unit Size,Unit Size,Unit Size,SKU,NPK,Cateogry,Type,Uses,Plant Type,Specific Plants,Dilution Rate,Rate Min mL / 100L,Rate Max mL / 100L,Rate Min g / plant,Rate Max  g / plant,Rate Min Rate g / L,Rate Max g / L,Rate Min g / m²,Rate Max g / m²,Rate g / 100 m²,Rate  Min kg / m³,Rate  Max kg / m³,Rate  Min kg / 100 m²,Rate  Max kg / 100 m²,Rate Min mL / 100 m²,Rate Max mL / 100 m²,Rate min kg  / Ha,Rate max kg / Ha,Rate min L / Ha,Rate max L / Ha, Watering Can Standard Min mL / 8L ,Watering Can Standard Max mL / 8L ,Watering Can Standard min mL / 9L ,Watering Can Standard max mL / 9L ,Watering Can Standard Min mL / 10L ,Watering Can Standard Max mL / 10L ,Watering Can Standard g / 10L ,Frequency,Buy now,Notes,Dilution Guide
Activ8EXTRA,1L,4L,10L,,a8X,16-2-5,Fertiliser,Liquid,"Lawns, Gardens, Trees",Grass,"Buffalo, Couch, Kikuyu, Zoysia",,,,,,,,,,,,,,,75mL,100mL,,,7.5L,10L,,,20mL,30mL,,,,Every 2–4 weeks as needed,https://www.plantdoctor.com.au/activ8extra-boosted-liquid-fertiliser-and-inoculan,Avoid mixing with iron products; trial patch first,Mix in water; apply evenly
Activ8mate Liquid Fertiliser & Inoculant,1L,4L,10L,20L,a8M,8/1/04,Fertiliser,Liquid,"Lawns, gardens, trees, farms",Grass,"Buffalo, Couch, Kikuyu, Zoysia",1:100,,,,,,,,,,,,,,75mL,100mL,,,5L,10L,,,20mL,30mL,,,,Every 2–4 weeks as needed,https://www.plantdoctor.com.au/activ8mate-liquid-fertiliser-inoculant-for-use-on,"Use all year round; warmer months may benefit from more frequent, lighter applications.
Apply half‑rate on natives, orchids, African violets, and ferns.
Product enhances soil microbiology and plant nutrient uptake.",Minimum dilution rate ~1:100; agitate well before use.
"

CHAMPION Lawn & Fairway Fertiliser",1kg,4.5kg,20kg,,886,15-3-8,Fertiliser,Granular,"Lawns, fairways, pastures, parks & sports grounds",Grass,"Buffalo, Couch, Kikuyu, Zoysia",,,,,,,,,,,,,2kg,4kg,,,200kg,400kg,,,,,,,,,,Every 8-10 weeks during active growth or as required,https://www.plantdoctor.com.au/champion-mineral-lawn-fairway-fertiliser-new ,"Slow‑release feeding up to ~3 months; ideal after mowing or aeration.
Water in lightly after application to activate nutrients.
Can be used on lawns, turf, fairways, and around most plants (trial first if unsure).",Not applicable – broadcast evenly across surface; light water‑in after spreading.
CHAMPION Mineral Low Cut Lawn Fertiliser,1kg,4.5kg,20kg,,892,16-1-9,Fertiliser,Granular,"Lawns (especially low‑cut turf), gardens, greens, sports turf",Grass,"Buffalo, Couch, Kikuyu, Zoysia",,,,,,,,,,,,,2kg,4kg,,,200kg,400kg,,,,,,,,,,Every 8–12 weeks or as required during active growth,https://www.plantdoctor.com.au/champion-mineral-low-cut-lawn-fertiliser-new,"Slow‑release formulation feeds turf consistently for up to ~3 months.
Ideal for maintaining dense, low‑cut turf and greens.
Can also be used around beds and other lawn edges; conduct trial if unsure.",Apply evenly across the turf surface with a spreader; provide a light water‑in after spreading (best applied after mowing or aeration).
"Flowers, Fruits & Roots Granular Fertiliser",1kg,4.5kg,20kg,,575,8/2/20,Fertiliser,Granular,"Gardens (flowers & fruit), trees, shrubs, ornamentals, edible plants, farms/permaculture; not intended for turf/lawns",General bedding plants,General,,,,,,,,,,,,,2kg,5.5kg,,,200kg,400kg,,,,,,,,,,Once at planting or when growth/fruiting requires feeding; slow‑release over ~4–6 months.,https://www.plantdoctor.com.au/flowers-fruits-roots-granular-fertiliser-8-2-20-np,"Application rates vary significantly with plant type; product is designed to support flowering, fruiting and root strength and is not intended for lawn nutrition (other products like MaxGreen or Lawn‑specific fertilisers are recommended for turf). Use caution with phosphorus‑sensitive natives — trial small areas first.",Not a liquid product — broadcast or incorporate into soil/around root zone; lightly water in after application.
"Flowers, Fruits & Roots Granular Fertiliser",1kg,4.5kg,20kg,,575,8/2/20,Fertiliser,Granular,"Gardens (flowers & fruit), trees, shrubs, ornamentals, edible plants, farms/permaculture; not intended for turf/lawns",Denser flowering beds,General,,,,,,,,,,,,,5.5kg,,,,,,,,,,,,,,,Once at planting or when growth/fruiting requires feeding; slow‑release over ~4–6 months.,https://www.plantdoctor.com.au/flowers-fruits-roots-granular-fertiliser-8-2-20-np,"Application rates vary significantly with plant type; product is designed to support flowering, fruiting and root strength and is not intended for lawn nutrition (other products like MaxGreen or Lawn‑specific fertilisers are recommended for turf). Use caution with phosphorus‑sensitive natives — trial small areas first.",Not a liquid product — broadcast or incorporate into soil/around root zone; lightly water in after application.
"Flowers, Fruits & Roots Granular Fertiliser",1kg,4.5kg,20kg,,575,8/2/20,Fertiliser,Granular,"Gardens (flowers & fruit), trees, shrubs, ornamentals, edible plants, farms/permaculture; not intended for turf/lawns",Bedding Plants,Roses,,,,,,,,,,70g,,,,,,,,,,,,,,,,,,Once at planting or when growth/fruiting requires feeding; slow‑release over ~4–6 months.,https://www.plantdoctor.com.au/flowers-fruits-roots-granular-fertiliser-8-2-20-np,"Application rates vary significantly with plant type; product is designed to support flowering, fruiting and root strength and is not intended for lawn nutrition (other products like MaxGreen or Lawn‑specific fertilisers are recommended for turf). Use caution with phosphorus‑sensitive natives — trial small areas first.",Not a liquid product — broadcast or incorporate into soil/around root zone; lightly water in after application.
"Flowers, Fruits & Roots Granular Fertiliser",1kg,4.5kg,20kg,,575,8/2/20,Fertiliser,Granular,"Gardens (flowers & fruit), trees, shrubs, ornamentals, edible plants, farms/permaculture; not intended for turf/lawns",Bedding Plants,Strawberries,,,,,,,,,,20g,,,,,,,,,,,,,,,,,,Once at planting or when growth/fruiting requires feeding; slow‑release over ~4–6 months.,https://www.plantdoctor.com.au/flowers-fruits-roots-granular-fertiliser-8-2-20-np,"Application rates vary significantly with plant type; product is designed to support flowering, fruiting and root strength and is not intended for lawn nutrition (other products like MaxGreen or Lawn‑specific fertilisers are recommended for turf). Use caution with phosphorus‑sensitive natives — trial small areas first.",Not a liquid product — broadcast or incorporate into soil/around root zone; lightly water in after application.
"Flowers, Fruits & Roots Granular Fertiliser",1kg,4.5kg,20kg,,575,8/2/20,Fertiliser,Granular,"Gardens (flowers & fruit), trees, shrubs, ornamentals, edible plants, farms/permaculture; not intended for turf/lawns",Bedding Plants,Carnations,,,,4g,,,,,,,,,,,,,,,,,,,,,,,,Once at planting or when growth/fruiting requires feeding; slow‑release over ~4–6 months.,https://www.plantdoctor.com.au/flowers-fruits-roots-granular-fertiliser-8-2-20-np,"Application rates vary significantly with plant type; product is designed to support flowering, fruiting and root strength and is not intended for lawn nutrition (other products like MaxGreen or Lawn‑specific fertilisers are recommended for turf). Use caution with phosphorus‑sensitive natives — trial small areas first.",Not a liquid product — broadcast or incorporate into soil/around root zone; lightly water in after application.
"Flowers, Fruits & Roots Granular Fertiliser",1kg,4.5kg,20kg,,575,8/2/20,Fertiliser,Granular,"Gardens (flowers & fruit), trees, shrubs, ornamentals, edible plants, farms/permaculture; not intended for turf/lawns",Shrubs,Small Shrub,,,,20g,,,,,,,,,,,,,,,,,,,,,,,,Once at planting or when growth/fruiting requires feeding; slow‑release over ~4–6 months.,https://www.plantdoctor.com.au/flowers-fruits-roots-granular-fertiliser-8-2-20-np,"Application rates vary significantly with plant type; product is designed to support flowering, fruiting and root strength and is not intended for lawn nutrition (other products like MaxGreen or Lawn‑specific fertilisers are recommended for turf). Use caution with phosphorus‑sensitive natives — trial small areas first.",Not a liquid product — broadcast or incorporate into soil/around root zone; lightly water in after application.
